Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_0
Method_Day grab,Setting_Ocean sediment,Class_Low,Region_1
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_High,Region_2
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_High,Region_3
Method_Manta net,Setting_Ocean water,Class_Medium,Region_4
Method_Manta net,Setting_Ocean water,Class_Medium,Region_5
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_6
Method_Day grab,Setting_Ocean sediment,Class_Medium,Region_7
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_8
Method_Neuston net,Setting_Ocean water,Class_Medium,Region_9
Method_Manta net,Setting_Ocean water,Class_Medium,Region_10
Method_Manta net,Setting_Ocean water,Class_Medium,Region_11
Method_Manta net,Setting_Ocean water,Class_Medium,Region_12
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_13
Method_Manta net,Setting_Ocean water,Class_High,Region_14
Method_Neuston net,Setting_Ocean water,Class_Medium,Region_15
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_High,Region_16
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_17
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_18
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_19
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Low,Region_21
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_22
Method_Neuston net,Setting_Ocean water,Class_Medium,Region_23
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Very Low,Region_24
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_26
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_27
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_28
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_29
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_30
Method_Neuston net,Setting_Ocean water,Class_Medium,Region_31
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Low,Region_32
Method_Neuston net,Setting_Ocean water,Class_Medium,Region_33
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Low,Region_34
Method_Neuston net,Setting_Ocean water,Class_Medium,Region_35
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_37
Method_Hand picking,Setting_Beach-Nurdle Patrol,Class_Medium,Region_38
